Epoch: 101/8192..  Training Loss: 739.930..  Test Loss: 33157.111.. 
Epoch: 201/8192..  Training Loss: 694.058..  Test Loss: 34178.166.. 
Epoch: 301/8192..  Training Loss: 674.044..  Test Loss: 34181.784.. 
Epoch: 401/8192..  Training Loss: 603.375..  Test Loss: 31678.398.. 
Epoch: 501/8192..  Training Loss: 480.143..  Test Loss: 24863.382.. 
Epoch: 601/8192..  Training Loss: 389.244..  Test Loss: 19421.758.. 
Epoch: 701/8192..  Training Loss: 322.333..  Test Loss: 16323.354.. 
Epoch: 801/8192..  Training Loss: 355.523..  Test Loss: 12367.230.. 
Epoch: 901/8192..  Training Loss: 389.577..  Test Loss: 11190.185.. 
Epoch: 1001/8192..  Training Loss: 363.648..  Test Loss: 9787.772.. 
Epoch: 1101/8192..  Training Loss: 311.757..  Test Loss: 8479.349.. 
Epoch: 1201/8192..  Training Loss: 247.322..  Test Loss: 7553.789.. 
Epoch: 1301/8192..  Training Loss: 233.756..  Test Loss: 6770.791.. 
Epoch: 1401/8192..  Training Loss: 218.734..  Test Loss: 6328.632.. 
Epoch: 1501/8192..  Training Loss: 208.521..  Test Loss: 5854.184.. 
Epoch: 1601/8192..  Training Loss: 199.126..  Test Loss: 5312.920.. 
Epoch: 1701/8192..  Training Loss: 190.034..  Test Loss: 4786.104.. 
Epoch: 1801/8192..  Training Loss: 181.890..  Test Loss: 4338.047.. 
Epoch: 1901/8192..  Training Loss: 172.955..  Test Loss: 3868.523.. 
Epoch: 2001/8192..  Training Loss: 174.151..  Test Loss: 3710.251.. 
Epoch: 2101/8192..  Training Loss: 371.262..  Test Loss: 3324.617.. 
Epoch: 2201/8192..  Training Loss: 233.709..  Test Loss: 3188.677.. 
Epoch: 2301/8192..  Training Loss: 239.420..  Test Loss: 3043.183.. 
Epoch: 2401/8192..  Training Loss: 210.143..  Test Loss: 3179.245.. 
Epoch: 2501/8192..  Training Loss: 180.166..  Test Loss: 3215.602.. 
Epoch: 2601/8192..  Training Loss: 172.305..  Test Loss: 3152.069.. 
Epoch: 2701/8192..  Training Loss: 163.190..  Test Loss: 3089.981.. 
Epoch: 2801/8192..  Training Loss: 155.962..  Test Loss: 3066.459.. 
Epoch: 2901/8192..  Training Loss: 148.807..  Test Loss: 3091.809.. 
Epoch: 3001/8192..  Training Loss: 140.634..  Test Loss: 3095.928.. 
Epoch: 3101/8192..  Training Loss: 139.020..  Test Loss: 3037.268.. 
Epoch: 3201/8192..  Training Loss: 995.864..  Test Loss: 8147.899.. 
Epoch: 3301/8192..  Training Loss: 1082.773..  Test Loss: 8947.458.. 
Epoch: 3401/8192..  Training Loss: 375.412..  Test Loss: 2529.594.. 
Epoch: 3501/8192..  Training Loss: 496.119..  Test Loss: 3221.744.. 
Epoch: 3601/8192..  Training Loss: 169.860..  Test Loss: 4208.567.. 
Epoch: 3701/8192..  Training Loss: 179.598..  Test Loss: 4012.471.. 
Epoch: 3801/8192..  Training Loss: 212.608..  Test Loss: 4408.826.. 
Epoch: 3901/8192..  Training Loss: 332.206..  Test Loss: 3371.334.. 
Epoch: 4001/8192..  Training Loss: 755.682..  Test Loss: 4350.186.. 
Epoch: 4101/8192..  Training Loss: 310.069..  Test Loss: 2762.335.. 
Epoch: 4201/8192..  Training Loss: 157.776..  Test Loss: 4191.432.. 
Epoch: 4301/8192..  Training Loss: 267.449..  Test Loss: 4781.998.. 
Epoch: 4401/8192..  Training Loss: 194.858..  Test Loss: 4598.753.. 
Epoch: 4501/8192..  Training Loss: 832.398..  Test Loss: 4600.751.. 
Epoch: 4601/8192..  Training Loss: 673.303..  Test Loss: 6085.326.. 
Epoch: 4701/8192..  Training Loss: 547.957..  Test Loss: 2003.389.. 
Epoch: 4801/8192..  Training Loss: 297.774..  Test Loss: 11417.831.. 
Epoch: 4901/8192..  Training Loss: 511.625..  Test Loss: 7005.998.. 
Epoch: 5001/8192..  Training Loss: 289.142..  Test Loss: 2733.147.. 
Epoch: 5101/8192..  Training Loss: 522.341..  Test Loss: 10151.771.. 
Epoch: 5201/8192..  Training Loss: 288.021..  Test Loss: 2416.748.. 
Epoch: 5301/8192..  Training Loss: 419.251..  Test Loss: 7548.476.. 
